epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,140.65,0.47844,1.23971,1.01465,0.97706,0.66667,0.995,0.92867,0.44932,1.72786,0.94733,0.000270618,0.000270618,0.000270618
43,145.308,0.53778,1.07653,1.07984,0.97706,0.66667,0.995,0.92867,0.44932,1.72786,0.94733,0.000272599,0.000272599,0.000272599
44,150.127,0.45361,0.84179,0.98614,0.97706,0.66667,0.995,0.92867,0.44932,1.72786,0.94733,0.00027436,0.00027436,0.00027436
45,154.934,0.4432,0.70659,0.90471,0.97706,0.66667,0.995,0.92867,0.44932,1.72786,0.94733,0.000275901,0.000275901,0.000275901
46,159.972,0.42963,0.63691,0.98469,0.67353,1,0.995,0.92867,0.28857,1.36778,0.83675,0.000277222,0.000277222,0.000277222
47,165.145,0.31879,1.13294,0.89993,0.67353,1,0.995,0.92867,0.28857,1.36778,0.83675,0.000278323,0.000278323,0.000278323
48,170.629,0.30322,0.77993,0.97696,0.67353,1,0.995,0.92867,0.28857,1.36778,0.83675,0.000279204,0.000279204,0.000279204
49,175.993,0.4024,0.67794,0.92387,0.67353,1,0.995,0.92867,0.28857,1.36778,0.83675,0.000279865,0.000279865,0.000279865
50,181.777,0.33771,1.08349,0.97463,0.89096,1,0.995,0.96183,0.40178,1.40825,0.92222,0.000280306,0.000280306,0.000280306
51,186.892,0.31947,0.87124,0.91934,0.89096,1,0.995,0.96183,0.40178,1.40825,0.92222,0.000280527,0.000280527,0.000280527
52,191.778,0.36663,0.63705,0.96719,0.89096,1,0.995,0.96183,0.40178,1.40825,0.92222,0.000280529,0.000280529,0.000280529
53,196.38,0.34944,0.92688,1.06293,0.89096,1,0.995,0.96183,0.40178,1.40825,0.92222,0.00028031,0.00028031,0.00028031
54,201.191,0.36922,0.64359,0.93492,0.89096,1,0.995,0.96183,0.40178,1.40825,0.92222,0.000279871,0.000279871,0.000279871
55,206.353,0.40358,0.71824,1.01874,0.93754,1,0.995,0.92867,0.40021,1.37558,0.90815,0.000279212,0.000279212,0.000279212
56,210.987,0.38396,0.72895,1.00256,0.93754,1,0.995,0.92867,0.40021,1.37558,0.90815,0.000278333,0.000278333,0.000278333
57,215.664,0.39901,0.76234,0.97482,0.93754,1,0.995,0.92867,0.40021,1.37558,0.90815,0.000277234,0.000277234,0.000277234
58,219.898,0.36396,0.76364,0.90341,0.93754,1,0.995,0.92867,0.40021,1.37558,0.90815,0.000275916,0.000275916,0.000275916
59,224.156,0.3441,0.87603,0.99193,0.93754,1,0.995,0.92867,0.40021,1.37558,0.90815,0.000274377,0.000274377,0.000274377
60,228.8,0.37161,0.71191,0.92592,0.94619,1,0.995,0.96183,0.36356,1.079,0.87419,0.000272618,0.000272618,0.000272618
61,233.717,0.37863,0.75271,0.94952,0.94619,1,0.995,0.96183,0.36356,1.079,0.87419,0.00027064,0.00027064,0.00027064
